,title,rating,calories,sodium,fat,protein,price,cooking_time,personal_rating,ingredients,keywords
0,Vietnamese-Style Spaghetti Squash “Noodle” Bowls with Skirt Steak ,4.5,503.0,1574.0,34.0,29.0,2.12,75.0,"[['lfox18 from Ballston Lake, NY ', 5], ['hairbrain from Montrose, CO ', 5], ['lschmidt from Portland, OR ', 3], ['tgbcooks ', 4], ['graceross from OtaOttawa ', 5], ['dmatale from New York, NY ', 5], ['mariemichellevu from Vietnam ', 3], ['sgkritz from California  ', 4], ['lissa_b from Norfolk, Massachusetts ', 2], ['thar from San Francisco, CA ', 5], ['jeneric1507 from NJ ', 5], ['stu210 from Denver, CO ', 5], ['cindyboyett from Goochland, VA ', 5], ['mksweh from Rye, NY ', 5], ['polkadotbats from Cincinnati, OH ', 1], ['anitamarcoff from Oregon ', 5], ['spud17 from Lexington, KY ', 1], ['Ambrozia911 from Dallas, TX ', 1], ['schatzca from Boston ', 1], ['Lynnied from Portola Valley, CA ', 5], ['julieacook from Ontario, Canada ', 5]]","1 pound skirt steak, cut crosswise into 4-inch sections 1 tablespoon finely grated fresh ginger 1 medium carrot, peeled, sliced into 3"" matchsticks 1 tablespoon brown sugar 1 tablespoon neutral vegetable oil 1/2 romaine heart, coarsely chopped (about 4 cups) 1 medium spaghetti squash (2–2 1/2 pounds), halved lengthwise, seeded 1/2 cup fresh lime juice, divided 1/4 cup fish sauce 2 garlic cloves, finely grated 2 scallions, thinly sliced 1/2 cup mung bean sprouts (about 2 ounces) 1 1/2 teaspoons kosher salt 1 mini or Persian cucumber, cut in half lengthwise, thinly sliced 1/4 cup roasted salted peanuts, coarsely chopped 1/4 cup cilantro leaves 3 tablespoons toasted sesame oil 1 medium jalapeño, stemmed, seeded, finely chopped",wheat/gluten-free soy free cucumber steak tree nut free healthy web dinner asian salad squash dairy free vietnamese
1,Freeform Chicken Meatballs with Carrots and Yogurt Sauce ,4.5,488.0,985.0,32.0,29.0,9.889,45.0,"[['smallbluebird from SF Bay Area  ', 5], ['enpeco2 from New Orleans, LA ', 5], ['smiles1940 from Alexandria, VA ', 5], ['jcarlile from Truckee, CA ', 5], ['jfkatz from Pretoria, South Africa  ', 5], ['augustin from Seattle WA ', 2], ['beachcats from Santa Monica, CA ', 5], ['judyldaniel from San Francisco, CA ', 5], ['foodiemmk from Greensboro, NC ', 4]]","5 Tbsp. extra-virgin olive oil, divided, plus more for drizzling 2 Tbsp. fresh lemon juice, plus more for serving 2 Tbsp. plain breadcrumbs ½ tsp. crushed red pepper flakes 1 cup plain Greek-style yogurt, preferably full-fat 1½ lb. small carrots, scrubbed, tops trimmed to about ½"", halved lengthwise 2 cups baby arugula or watercress 1 lb. ground chicken or ground turkey 2 tsp. garam masala 1 large egg, beaten to blend 2¼ tsp. kosher salt, divided 6 scallions, white and pale-green parts finely chopped 3 tsp. finely grated lemon zest Flaky sea salt",lemon juice small plates quick & easy web spring sheet-pan dinner quick and healthy arugula green onion/scallion indian breadcrumbs yogurt dinner chicken winter kid-friendly carrot lemon egg
2,"Grain Bowls with Chicken, Spiced Chickpeas, and Avocado ",4.5,1448.0,784.0,102.0,56.0,7.758999999999999,20.0,"[['Anna D from San Diego, CA ', 4], ['alenarz from Minneapolis, MN ', 5], ['dallasnash from Botswana ', 2], ['bas614 from Boston ', 4], ['kerryduffie from Denver ', 5], ['Kimpro101 from Texas ', 5], ['deannaip from Austin, TX ', 5], ['bearmayor ', 5], ['lglevin from San Diego, CA ', 5], ['kelik0991 from Denver, Co  ', 5], ['straker from Atlanta, GA  ', 5], ['tgbcooks from FFarF ', 4], ['shellhahn from Bloomington, IN ', 5], ['blauj from Sask., Canada ', 5], ['magdalen20 from San Diego VCCA ', 4], ['sjhergenrader from Zurich, Switzerland ', 5], ['JMurov from Pleasant Hill, CA ', 5], ['pattidd from Boston MA ', 5], ['lora_lu from Denver, CO ', 4], ['tbell023 from San Diego ', 5], ['rlykins from Sydney, Australia ', 5], ['lauradesai from Washington, DC ', 5], ['stephaniebeckner from Germany ', 5], ['railim from BC, Canada ', 4], ['bearmayor from Kanada ', 4]]","⅛ teaspoon cayenne pepper 6 tablespoons fresh lemon juice ¾ cup mint leaves 1¼ cups extra-virgin olive oil 4 cups cooked quinoa, farro, barley, or brown rice ½ cup pickled red onions 2 avocados, halved, pitted, sliced 2 mini seedless cucumbers, halved, sliced 1 (15.5-ounce) can chickpeas, drained, rinsed, patted dry ¼ teaspoon kosher salt ½ teaspoon ground cumin 4 cups watercress or baby arugula 4 teaspoons toasted sesame seeds 1½ cups parsley leaves ½ teaspoon kosher salt 4 cups shredded cooked chicken (from 1 [2½-pound] rotisserie chicken) 1 teaspoon honey 2 teaspoons olive oil",30 days of groceries lunch cucumber wheat/gluten-free 22-minute meals soy free rice tree nut free kosher grains chickpea dinner quinoa peanut free avocado web chicken dairy free
3,Ancho Chile Pork Tenderloin with Brussels Sprouts and Squash ,4.5,620.0,1482.0,31.0,53.0,2.7800000000000002,45.0,"[['zoeycooks from Boston, MA  ', 4], ['enietupski57021 from Boston, MA ', 5], ['wigdowt from Asheville, NC ', 5], ['malinsky from Calgary, Canada ', 4], ['kklabracke from Oconomowoc, WI ', 5], ['GreenJourney from Chicago ', 5], ['mmmbaker from Colorado ', 4], ['laura_b_mv from Mountain View, CA ', 5]]","2 pork tenderloins (about 1 pound each) 1 1/2 pounds brussels sprouts, trimmed, quartered 1 large red onion, halved, cut into 1/2-inch-thick wedges 2 limes 1 teaspoon brown sugar 3/4 cup sour cream 1/2 cup cilantro, finely chopped, plus whole leaves for serving 4 tablespoons vegetable oil, divided 2 teaspoons ground cumin Flaky sea salt and freshly ground black pepper 1 delicata squash, halved lengthwise, seeded, sliced into 1/4-inch half moons 1 teaspoon ancho chile powder 2 1/4 teaspoons kosher salt, divided",wheat/gluten-free chile brussels sprout lime fall onion winter web cumin roast pork tenderloin cilantro squash sour cream
4,Shrimp with Herby White Beans and Tomatoes ,4.5,578.0,1151.0,23.0,34.0,2.26,20.0,"[['flagg ', 5], ['delaniepope from Grand Rapids ', 5], ['bikap ', 5], ['blwyxx4163 from Salt Lake City, UT ', 5], ['blwyxx4163 from Durango, CO ', 5], ['scrooge_fan from Machesney Park, IL ', 5], ['charface from Portland, OR ', 5], ['kmender1 from NY, NY ', 5], ['ginapos from Philly ', 5], ['kjbbmommy from Attleboro, MA ', 5], ['delaniepope from Michigan ', 5], ['beachcats from Santa Monica, CA ', 3], ['catdellinger from North Danville, Vermont ', 5], ['jenpost1556 from Stoughton, WI  ', 5], ['lkaaha from San Jose, CA ', 5], ['rachtherose from Los Angeles ', 5], ['dsarosik1 from Lake Tahoe ', 5], ['dawntreader3731425 from Los Angeles, CA ', 4], ['jerirecipes from North Myrtle Beach, SC ', 5], ['asholady from New Orleans, LA ', 5], ['gringaroja from Boston ', 5], ['jd_rinde from Huntington Beach, CA ', 5], ['bratkowk from Austin, TX ', 5], ['sarge1 from Alexandria, VA ', 5], ['margiejo from Los Angeles ', 5]]","Thick slices of crusty toasted bread (for serving) 1/2 teaspoon (or more) kosher salt, divided 1 medium shallot, thinly sliced 1 (15-ounce) can white beans, rinsed, drained 8 ounces shrimp, peeled, deveined (about 16 medium) 1 (14.5-ounce) can diced tomatoes 1/4 cup Roasted Garlic Herb Sauce or high-quality pesto, plus more for serving 3 tablespoons olive oil, divided 1/2 teaspoon freshly ground black pepper, divided",#cook90 quick and healthy tomato quick & easy shrimp web dinner bean shellfish healthy seafood
5,Quick Sweet and Sour Chicken ,3.5,816.0,1015.0,52.0,39.0,3.239,22.0,"[['robboo from Syr ny ', 4], ['bellabug ', 4], ['moorloughmary from Edmonton, Alberta ', 4], ['yvoloshin from Brooklyn, ny ', 5], ['rnicolls from Calgary ', 4], ['morganmk from Augusta, GA ', 5], ['christinesuchor7153 from Boulder ', 2], ['mvjimo from Vineyard Haven, MA ', 4], ['treeapril2014 from the earth ', 2], ['lovestoputter ', 4], ['jc1920ra from Green Valley, AZ ', 3]]","1 medium green or red bell pepper, seeds and ribs removed, sliced into 1"" pieces 3 tablespoons ketchup 2 pounds boneless, skinless chicken breasts and/or thighs 6 tablespoons cornstarch 1/2 cup apple cider vinegar 1 3/4 teaspoons kosher salt, divided 1/4 cup honey Cooked white or brown rice (for serving) 1 cup canned pineapple chunks plus 1/4 cup pineapple juice 1/2 teaspoon freshly ground black pepper 4 tablespoons vegetable oil, divided 2 teaspoons light brown sugar 1/2 medium onion, thinly sliced 2 tablespoons low-sodium soy sauce or tamari 1 large garlic clove, finely grated 1 scallion, thinly sliced",takeout at home kid-friendly small plates 22-minute meals bell pepper american pineapple web chinese dinner asian chicken
6,Cacio e Pepe Pie ,4.0,1083.0,1145.0,64.0,52.0,15.350000000000001,80.0,"[['janmurray from Orlando, FL ', 5], ['RWeaver59 from Boston, MA ', 4], ['kizzybelle from Ontario ', 5], ['Primanna from Buffalo, NY ', 5], ['svensvnset ', 2], ['Fotaku ', 4], ['sakillets from texas ', 4], ['loriltx from Houston ', 5], ['tmanton from NJ ', 3]]","1/2 cup plus 1 1/2 tsp. kosher salt 8 oz. ricotta 4 oz. finely grated Parmesan and/or Pecorino Romano (about 1 cup), plus more for serving 2 Tbsp. extra-virgin olive oil, plus more for drizzling 3 large eggs Nonstick vegetable oil spray 1 Tbsp. freshly ground black pepper, plus more 8 oz. coarsely grated Fontina cheese (about 2 cups) 1 1/2 cups half-and-half 12 oz. bucatini or spaghetti",pepper ricotta kid-friendly small plates cheese bake parmesan fall egg fontina web dinner italian pasta pie winter
7,Sunday Stash Sweet Potatoes ,4.0,197.0,567.0,6.0,3.0,1.28,50.0,"[['juliefrawle ', 5], ['jdaisymia ', 5], ['ncm209 ', 2]]",1/4 cup vegetable oil 1 Tbsp. kosher salt 8 large sweet potatoes (9–12 oz. each),web sweet potato/yam sunday stash
8,Chickpea Salad Sandwich with Creamy Carrot-Radish Slaw ,4.5,694.0,912.0,53.0,14.0,6.98,20.0,"[['laurenhabiba from expat ', 5], ['vtgrammy from killington,vt ', 4], ['cjadewi from Boston,ma ', 5], ['marciaznelson from Chicago area ', 5], ['viking_kitten from Boston area ', 4], ['jraderj from NYC, NY ', 5], ['jraderj from NYC ', 5], ['Ellie_B from Brookline, MA ', 4], ['lulabell67 from Rochester, NY ', 3], ['jeanburton2 from Albany, NY ', 5]]","1 shallot, quartered 2 tablespoons radish-top salsa verde (optional) 1 (16-ounce) can chickpeas, rinsed 1 avocado, thinly sliced 3 tablespoons extra-virgin olive oil 1 medium cucumber (about 1/2 pound), finely chopped 1/8 teaspoon freshly ground black pepper 3 tablespoons crumbled feta 4 brioche buns or 8 slices pumpernickel bread, toasted 1/2 teaspoon kosher salt 3 tablespoons mayonnaise 1/4 cup coarsely chopped parsley 1/4 cup sliced almonds 1 teaspoon finely grated lemon zest 1 garlic clove, halved 1/4 cup coarsely chopped cilantro 5 small carrots (about 8 ounces), coarsely grated using the coarse grater disk on a food processor or the largest holes on a box grater 3 small radishes (about 2 ounces), coarsely grated using the coarse grater disk on a food processor or the largest holes on a box grater 2 tablespoons extra-virgin olive oil 1 tablespoon fresh lemon juice 1/2 cup baby spinach leaves 4 tablespoons mayonnaise",30 days of groceries carrot radish sandwich vegetarian chickpea feta web avocado salad cilantro
9,Mexican Meat Patties with Fresh Corn Salsa ,5.0,498.0,706.0,36.0,23.0,18.787,45.0,"[['sgawith1 from Johannesburg ', 5], ['lei739 from Nor Cal ', 5], ['janekathryn from San Francisco  ', 5], ['layla1008 from Brick NJ ', 4], ['MeCookFood from Blacksburg, VA ', 5], ['cookbooker from Boston, MA ', 5], ['robyn386 from Austin, TX ', 5]]","2 ears corn on the cob 1/2 tsp. garlic powder 3/4 tsp. chili powder, preferably chipotle, divided 1 Tbsp. vegetable oil, plus more for greasing 1/2 small red onion, finely chopped 1 large tomato, chopped into 1/2"" pieces 3 Tbsp. fresh lime juice 1/2 cup coarsely chopped cilantro leaves and tender stems, divided 1/2 lb. ground beef 2 1/4 tsp. kosher salt, divided 1 serrano chile, seeded, finely chopped 1 avocado, halved, cut into 1/2"" pieces 1/2 lb. ground pork",pork kid-friendly chile summer small plates ground beef tomato quick & easy mexican onion web dinner avocado chili corn cilantro lime juice
